#chr	start	end	geneID	strand	TSS	TES	dist_closest_edge	dist_TSS	dist_TES	overlap_transcript	overlap_promoter
chr1	120760212	120760461	BC028767_3110009E18Rik	+	122017764	122114603	1257303	1257303	1354142	0	0
chr1	132950929	132951247	BC053100_5730559C18Rik	-	138130841	138110108	5158861	5179594	5158861	0	0
chr1	133114860	133115015	BC053100_5730559C18Rik	-	138130841	138110108	4995093	5015826	4995093	0	0
chr1	135582677	135582828	BC053100_5730559C18Rik	-	138130841	138110108	2527280	2548013	2527280	0	0
chr1	135851853	135852218	BC053100_5730559C18Rik	-	138130841	138110108	2257890	2278623	2257890	0	0
chr1	135851853	135852218	BC053100_5730559C18Rik	-	138130841	138110108	2257890	2278623	2257890	0	0
chr1	136956468	136956598	BC053100_5730559C18Rik	-	138130841	138110108	1153510	1174243	1153510	0	0
chr1	138437726	138437860	BC053100_5730559C18Rik	-	138130841	138110108	306885	306885	327618	0	0
chr1	138437726	138437860	BC053100_5730559C18Rik	-	138130841	138110108	306885	306885	327618	0	0
chr1	140381656	140381785	BC053100_5730559C18Rik	-	138130841	138110108	2250815	2250815	2271548	0	0
chr1	145591041	145591176	BC053100_5730559C18Rik	-	138130841	138110108	7460200	7460200	7480933	0	0
chr1	145591041	145591176	BC053100_5730559C18Rik	-	138130841	138110108	7460200	7460200	7480933	0	0
chr1	145591041	145591176	BC053100_5730559C18Rik	-	138130841	138110108	7460200	7460200	7480933	0	0
chr1	145591041	145591176	BC053100_5730559C18Rik	-	138130841	138110108	7460200	7460200	7480933	0	0
chr1	145591041	145591176	BC053100_5730559C18Rik	-	138130841	138110108	7460200	7460200	7480933	0	0
chr1	145591041	145591176	BC053100_5730559C18Rik	-	138130841	138110108	7460200	7460200	7480933	0	0
chr1	145591041	145591176	BC053100_5730559C18Rik	-	138130841	138110108	7460200	7460200	7480933	0	0
chr1	154971572	154971673	BC055845_2810025M15Rik	+	159342483	159350353	4370810	4370810	4378680	0	0
chr1	155123313	155123435	BC055845_2810025M15Rik	+	159342483	159350353	4219048	4219048	4226918	0	0
chr1	155123313	155123435	BC055845_2810025M15Rik	+	159342483	159350353	4219048	4219048	4226918	0	0
chr1	158510523	158510813	BC055845_2810025M15Rik	+	159342483	159350353	831670	831670	839540	0	0
chr1	158510523	158510813	BC055845_2810025M15Rik	+	159342483	159350353	831670	831670	839540	0	0
chr1	158537267	158537411	BC055845_2810025M15Rik	+	159342483	159350353	805072	805072	812942	0	0
chr1	158537267	158537411	BC055845_2810025M15Rik	+	159342483	159350353	805072	805072	812942	0	0
chr1	158580638	158580759	BC055845_2810025M15Rik	+	159342483	159350353	761724	761724	769594	0	0
chr1	158835251	158835391	BC055845_2810025M15Rik	+	159342483	159350353	507092	507092	514962	0	0
chr1	158835251	158835391	BC055845_2810025M15Rik	+	159342483	159350353	507092	507092	514962	0	0
chr1	158835251	158835391	BC055845_2810025M15Rik	+	159342483	159350353	507092	507092	514962	0	0
chr1	158835251	158835391	BC055845_2810025M15Rik	+	159342483	159350353	507092	507092	514962	0	0
chr1	158835251	158835391	BC055845_2810025M15Rik	+	159342483	159350353	507092	507092	514962	0	0
chr1	158835251	158835391	BC055845_2810025M15Rik	+	159342483	159350353	507092	507092	514962	0	0
chr1	159240736	159240866	BC055845_2810025M15Rik	+	159342483	159350353	101617	101617	109487	0	0
chr1	159240736	159240866	BC055845_2810025M15Rik	+	159342483	159350353	101617	101617	109487	0	0
chr1	163827897	163828062	BC049713_Ankrd45	+	163072817	163099826	728071	755080	728071	0	0
chr1	163827897	163828062	BC049713_Ankrd45	+	163072817	163099826	728071	755080	728071	0	0
chr1	163827897	163828062	BC049713_Ankrd45	+	163072817	163099826	728071	755080	728071	0	0
chr1	164215623	164215935	BC049713_Ankrd45	+	163072817	163099826	1115797	1142806	1115797	0	0
chr1	164215623	164215935	BC049713_Ankrd45	+	163072817	163099826	1115797	1142806	1115797	0	0
chr1	167222964	167223261	BC052693_2810422O20Rik	+	165924541	165927371	1295593	1298423	1295593	0	0
chr1	167222964	167223261	BC052693_2810422O20Rik	+	165924541	165927371	1295593	1298423	1295593	0	0
chr1	167906284	167906554	BC052693_2810422O20Rik	+	165924541	165927371	1978913	1981743	1978913	0	0
chr1	167906284	167906554	BC052693_2810422O20Rik	+	165924541	165927371	1978913	1981743	1978913	0	0
chr1	167906284	167906554	BC052693_2810422O20Rik	+	165924541	165927371	1978913	1981743	1978913	0	0
chr1	167906284	167906554	BC052693_2810422O20Rik	+	165924541	165927371	1978913	1981743	1978913	0	0
chr1	170255081	170255260	BC052693_2810422O20Rik	+	165924541	165927371	4327710	4330540	4327710	0	0
chr1	170255081	170255260	BC052693_2810422O20Rik	+	165924541	165927371	4327710	4330540	4327710	0	0
chr1	172620779	172620912	BC052693_2810422O20Rik	+	165924541	165927371	6693408	6696238	6693408	0	0
chr1	172620917	172621080	BC052693_2810422O20Rik	+	165924541	165927371	6693546	6696376	6693546	0	0
chr1	174376470	174376659	BC054802_9630058J23Rik	+	181476521	181558044	7099862	7099862	7181385	0	0
chr1	181061299	181061446	BC054802_9630058J23Rik	+	181476521	181558044	415075	415075	496598	0	0
chr1	182479646	182479905	BC031781_BC031781	+	182781250	182798240	301345	301345	318335	0	0
chr1	182479646	182479905	BC031781_BC031781	+	182781250	182798240	301345	301345	318335	0	0
chr1	185854947	185855105	BC057872_Rab3gap2	+	187028006	187110623	1172901	1172901	1255518	0	0
chr1	185854947	185855105	BC057872_Rab3gap2	+	187028006	187110623	1172901	1172901	1255518	0	0
chr1	194258648	194259032	BC055955_A130010J15Rik	+	194999663	195004015	740631	740631	744983	0	0
chr1	194258648	194259032	BC055955_A130010J15Rik	+	194999663	195004015	740631	740631	744983	0	0
chr1	194645118	194645475	BC055955_A130010J15Rik	+	194999663	195004015	354188	354188	358540	0	0
chr1	194957396	194957723	BC055955_A130010J15Rik	+	194999663	195004015	41940	41940	46292	0	0
chr1	194957396	194957723	BC055955_A130010J15Rik	+	194999663	195004015	41940	41940	46292	0	0
chr1	195324443	195324741	BC055955_A130010J15Rik	+	194999663	195004015	320428	324780	320428	0	0
chr1	195330701	195330930	BC055955_A130010J15Rik	+	194999663	195004015	326686	331038	326686	0	0
chr1	195338316	195338616	BC055955_A130010J15Rik	+	194999663	195004015	334301	338653	334301	0	0
chr1	195342728	195342985	BC055955_A130010J15Rik	+	194999663	195004015	338713	343065	338713	0	0
chr1	195384767	195385195	BC055955_A130010J15Rik	+	194999663	195004015	380752	385104	380752	0	0
chr1	197057796	197057843	AK030377_A330023F24Rik	-	196826186	196781953	231610	231610	275843	0	0
