RefSeq_Gene Symbol	chr1	start	stop	strand	diff_exp
NM_010185_Fcer1g	chr1	173159708	173164476	-	0
NM_010188_Fcgr3	chr1	172916162	173015807	-	0
NM_010209_Fh1	chr1	177427308	177555746	-	0
NM_010212_Fhl2	chr1	43179941	43255166	-	0
NM_010231_Fmo1	chr1	164744557	164796721	-	0
NM_010233_Fn1	chr1	71632113	71736637	-	0
NM_010262_Gbx2	chr1	91824531	91831059	-	0
NM_010267_Gdap1	chr1	17135463	17385513	+	0
NM_010341_Nmur1	chr1	88282479	88297441	-	0
NM_010472_Agfg1	chr1	82836048	82918151	+	0
NM_010476_Hsd17b7	chr1	171879671	171899542	-	0
NM_010483_Htr5b	chr1	123406263	123425032	-	0
NM_010500_Ier5	chr1	156943491	156946949	-	0
NM_010518_Igfbp5	chr1	72904507	72921468	-	0
NM_010544_Ihh	chr1	74991633	75093213	-	0
NM_010548_Il10	chr1	132916424	132921547	+	0
NM_010552_Il17a	chr1	20660053	20766059	+	0
NM_010553_Il18rap	chr1	40572207	40606867	+	0
NM_010555_Il1r2	chr1	40130058	40182052	+	0
NM_010564_Inha	chr1	75503647	75506924	+	0
NM_010566_Inpp5d	chr1	89504177	89645401	+	0
NM_010570_Irs1	chr1	82229682	82233665	+	0
NM_010570_Irs1	chr1	82229686	82300552	-	0
NM_010584_Itln1	chr1	173448254	173495879	-	0
NM_010600_Kcnh1	chr1	194014507	194368391	+	0
NM_010607_Kcnk2	chr1	191031813	191229415	-	0
NM_010629_Kifap3	chr1	165671988	165847216	+	0
NM_010633_Uhmk1	chr1	172123558	172145524	-	0
NM_010678_Aff3	chr1	38232856	38782360	-	0
NM_010683_Lamc1	chr1	155065803	155179906	-	0
NM_010712_Lhx4	chr1	157520057	157598794	-	0
NM_010732_Lrrn2	chr1	134776870	134865321	+	0
NM_010766_Marco	chr1	122261022	122466383	-	0
NM_010778_Cd46	chr1	196861976	196919007	-	0
NM_010827_Msc	chr1	14520272	14746075	-	0
NM_010834_Mstn	chr1	53118495	53124923	+	0
NM_010863_Myo1b	chr1	51806622	51973696	-	0
NM_010865_Myoc	chr1	164569268	164581467	+	0
NM_010879_Nck2	chr1	43501442	43627345	+	0
NM_010880_Ncl	chr1	88241155	88255995	-	0
NM_010892_Nek2	chr1	193645343	193656921	+	0
NM_010916_Nhlh1	chr1	173982425	173987707	-	0
NM_010933_Nppc	chr1	88512597	88567147	-	0
NM_011011_Oprk1	chr1	5578025	5596202	+	0
NM_011063_Pea15a	chr1	174126043	174136915	-	0
NM_011066_Per2	chr1	93312559	93386413	-	0
NM_011070_Pfdn2	chr1	173275115	173289384	+	0
NM_011082_Pigr	chr1	132723238	132748826	+	0
NM_011086_Pikfyve	chr1	65225807	65332228	+	0
NM_011111_Serpinb2	chr1	109407675	109422169	+	0
NM_011198_Ptgs2	chr1	151947054	152026155	+	0
NM_011206_Ptpn18	chr1	34516613	34532568	+	0
NM_011267_Rgs16	chr1	155574693	155592596	+	0
NM_011273_Xpr1	chr1	157103002	157264554	-	0
NM_011277_Rnf2	chr1	153305192	153359013	-	0
NM_011283_Rp1	chr1	3989638	4469288	-	0
NM_011318_Apcs	chr1	174824092	174855560	-	0
NM_011345_Sele	chr1	165978323	165988607	+	0
NM_011346_Sell	chr1	165992132	166007817	+	0
NM_011347_Selp	chr1	166045416	166080154	+	0
NM_011439_Sox13	chr1	135278853	135384763	-	0
NM_011441_Sox17	chr1	4481009	4487839	-	0
NM_011459_Serpinb8	chr1	109486542	109586251	+	0
NM_011465_Spna1	chr1	176102906	176178561	+	0
NM_011487_Stat4	chr1	52036485	52164030	+	0
NM_011494_Stk16	chr1	75207414	75212181	+	0
NM_011541_Tcea1	chr1	4847584	4889703	+	0
NM_011590_Timm17a	chr1	137197272	137210335	-	0
NM_011633_Traf5	chr1	193821096	193916369	-	0
NM_011650_Tsn	chr1	120194658	120208016	-	0
NM_011729_Ercc5	chr1	44204270	44256568	+	0
NM_011770_Ikzf2	chr1	69574124	69733875	-	0
NM_011780_Adam23	chr1	63640970	63642850	+	0
NM_011780_Adam23	chr1	63482194	63639230	+	0
NM_011785_Akt3	chr1	178940936	179188314	-	0
NM_011794_Bpnt1	chr1	187156058	187181696	+	0
NM_011796_Capn10	chr1	94830953	94844518	+	0
NM_011800_Cdh20	chr1	106665116	106892058	+	0
NM_011804_Creg1	chr1	167693878	167710825	+	0
NM_011811_Farsb	chr1	78414533	78506689	-	0
NM_011825_Grem2	chr1	176763926	176859770	-	0
NM_011880_Rgs7	chr1	176989221	177422985	-	0
NM_011882_Rnasel	chr1	155596576	155619417	+	0
NM_011931_Rfwd2	chr1	161159948	161307408	+	0
NM_011935_Esrrg	chr1	189432683	190062059	+	0
NM_012009_Sh2d1b1	chr1	172162900	172220030	+	0
NM_012012_Exo1	chr1	177810732	177841721	+	0
NM_012049_Nit1	chr1	173270709	173276021	-	0
NM_012058_Srp9	chr1	183988019	184062514	+	0
NM_013474_Apoa2	chr1	173151908	173156502	+	0
NM_013489_Cd84	chr1	173769848	173820852	+	0
NM_013499_Cr1l	chr1	196924298	196957754	-	0
NM_013612_Slc11a1	chr1	74421758	74433050	+	0
NM_013626_Pam	chr1	99691711	100053468	-	0
NM_013673_Sp100	chr1	84943347	87618694	+	0
NM_013715_Cops5	chr1	10014683	10028315	-	0
NM_013729_Mixl1	chr1	182623184	182634680	-	0
NM_013730_Slamf1	chr1	173682982	173731471	+	0
NM_013750_Phlda3	chr1	137662671	137665710	+	0
NM_013784_Pign	chr1	107385512	107560244	-	0
NM_013835_Trove2	chr1	145597816	145624178	-	0
NM_013862_Rabgap1l	chr1	162149308	162739582	-	0
NM_013919_Usp21	chr1	173212080	173218102	-	0
NM_015750_Neu2	chr1	89348720	89494397	+	0
NM_015780_Cfhr1	chr1	141443639	141456806	-	0
NM_015811_Rgs1	chr1	146060709	146118313	-	0
NM_015818_Hs6st1	chr1	36125255	36163289	+	0
NM_016696_Gpc1	chr1	94728253	94757346	+	0
NM_016702_Agxt	chr1	95031777	95041991	+	0
NM_016716_Cul3	chr1	80261498	80323399	-	0
NM_016717_Scly	chr1	93192544	93217635	+	0
