RefSeq_Gene Symbol	chr1	start	stop	strand	diff_exp
NM_053257_Rpl31	chr1	39421000	39429094	+	0
NM_053270_Rims1	chr1	22275987	22813178	-	0
NM_054076_Optc	chr1	135787973	135805299	-	0
NM_054077_Prelp	chr1	135806855	135865173	-	0
NM_054087_Slc19a2	chr1	166178694	166196022	+	0
NM_054102_Ivns1abp	chr1	153196503	153212127	+	0
NM_080419_Igsf8	chr1	174191772	174249967	+	0
NM_080844_Serpinc1	chr1	162908738	162946004	+	0
NM_080850_Pask	chr1	95205357	95240039	-	0
NM_130456_Nphs2	chr1	158233397	158258162	+	0
NM_130890_Capn8	chr1	184489366	184629001	+	0
NM_133193_Il1rl2	chr1	40381454	40447345	+	0
NM_133220_Sgk3	chr1	9787936	9890911	+	0
NM_133225_Acbd3	chr1	182654006	182684317	+	0
NM_133235_Khdrbs2	chr1	32113056	32771277	+	0
NM_133239_Crb1	chr1	141093643	141296750	-	0
NM_133252_Tram2	chr1	20984161	21069306	-	0
NM_133358_Zfp617	chr1	87909957	87912999	-	0
NM_133664_Lad1	chr1	137715163	137730085	+	0
NM_133684_Mosc2	chr1	186636947	186687141	-	0
NM_133705_Pycr2	chr1	182834431	182850616	+	0
NM_133728_Asnsd1	chr1	53382361	53409576	-	0
NM_133748_Insig2	chr1	123200933	123229157	-	0
NM_133780_Tpr	chr1	152239968	152298193	+	0
NM_133781_Cab39	chr1	87687678	87748148	+	0
NM_133805_Cops8	chr1	92499556	92564446	+	0
NM_133806_Uap1	chr1	172007106	172105098	-	0
NM_133808_Hdlbp	chr1	95302520	95375513	-	0
NM_133809_Kmo	chr1	177550532	177592237	+	0
NM_133810_Stk17b	chr1	53812356	53857070	-	0
NM_133815_Lbr	chr1	183737722	183773157	-	0
NM_133816_Sh3bp4	chr1	90966984	91051778	+	0
NM_133817_Zfp451	chr1	33817052	33871530	-	0
NM_133819_Ppp1r15b	chr1	135027595	135036355	+	0
NM_133826_Atp6v1h	chr1	5060109	5173662	+	0
NM_133828_Creb1	chr1	64646684	64649524	+	0
NM_133828_Creb1	chr1	64579391	64645546	+	0
NM_133829_Mfsd6	chr1	52702101	52784383	-	0
NM_133832_Rdh10	chr1	16095419	16123815	+	0
NM_133975_Trip12	chr1	84717781	84836834	-	0
NM_134252_Trpm8	chr1	90181363	90285482	+	0
NM_134438_Gpr37l1	chr1	137054243	137069087	-	0
NM_134448_Dst	chr1	33965107	34411632	+	0
NM_138314_Nme7	chr1	166237503	166369483	+	0
NM_138741_Sdpr	chr1	51345970	51359791	+	0
NM_139146_Satb2	chr1	56850830	57044309	-	0
NM_139150_Carf	chr1	60155057	60208366	+	0
NM_139152_Asb18	chr1	91849253	91911152	-	0
NM_139270_Pth2r	chr1	65328648	65436194	+	0
NM_144530_Zc3h11a	chr1	135516445	135557956	-	0
NM_144539_Slamf7	chr1	173562534	173583396	-	0
NM_144558_Bivm	chr1	44175822	44201615	+	0
NM_144559_Fcgr4	chr1	172925278	172974678	+	0
NM_144761_Crygb	chr1	65126809	65127141	-	0
NM_144791_Tor1aip1	chr1	157851734	157889804	-	0
NM_144794_Tmem63a	chr1	182872430	182919700	+	0
NM_144796_Susd4	chr1	184694011	184850523	+	0
NM_144810_Klhdc8a	chr1	134182914	134204342	+	0
NM_144814_Rcor3	chr1	193910981	193962565	-	0
NM_144817_Camk1g	chr1	195172540	195216632	-	0
NM_144875_Rab7l1	chr1	133763813	133782396	+	0
NM_144877_Mettl13	chr1	164462268	164478659	-	0
NM_144878_Fmo4	chr1	164675648	164744002	-	0
NM_144879_Vash2	chr1	192771545	192803413	-	0
NM_144880_Ppp2r5a	chr1	193175865	193290728	-	0
NM_144881_Hhat	chr1	194320603	194649833	-	0
NM_144882_2810022L02Rik	chr1	57831026	58005952	+	0
NM_144953_1700019D03Rik	chr1	52981207	53077002	-	0
NM_144960_Fcamr	chr1	132697479	132711317	+	0
NM_145100_Lypd1	chr1	127768620	127809650	-	0
NM_145128_Mgat5	chr1	129101583	129384133	+	0
NM_145141_Fcrla	chr1	172847725	172857714	-	0
NM_145142_Chst10	chr1	38920721	38955057	-	0
NM_145143_Mpp4	chr1	59177791	59218762	-	0
NM_145222_B3gnt7	chr1	88199427	88203870	+	0
NM_145381_Lactb2	chr1	13604244	13650616	-	0
NM_145392_Bag2	chr1	33802345	33814648	-	0
NM_145413_Fam20b	chr1	158608676	158649180	-	0
NM_145415_AA408296	chr1	194918802	194956446	-	0
NM_145417_Rnpep	chr1	137159304	137180985	-	0
NM_145506_Epb4.1l5	chr1	121437741	121545557	-	0
NM_145508_Dyrk3	chr1	133018921	133034897	-	0
NM_145509_5430435G22Rik	chr1	133585272	133610099	+	0
NM_145510_Rabif	chr1	136391105	136405512	+	0
NM_145511_BC003331	chr1	152183263	152240229	-	0
NM_145512_Sft2d2	chr1	167104119	167124549	-	0
NM_145513_Tiprl	chr1	167133855	167183116	-	0
NM_145514_Wdr26	chr1	183100306	183150525	-	0
NM_145515_Mark1	chr1	186720345	186823408	-	0
NM_145516_Plekhb2	chr1	34906787	34936422	+	0
NM_145517_Ormdl1	chr1	53353438	53367153	+	0
NM_145518_Ndufs1	chr1	63190187	63223454	-	0
NM_145519_Farp2	chr1	95408676	95518914	+	0
NM_145624_Zfp709	chr1	87911157	87911749	-	0
NM_145692_Lrrc67	chr1	9943781	9999420	-	0
NM_145856_Il17f	chr1	20767237	20776566	-	0
NM_145977_Slc45a3	chr1	133859512	133879541	+	0
NM_145991_Cdc73	chr1	145274292	145549936	-	0
NM_145996_Arid5a	chr1	36359349	36380874	+	0
NM_146103_Tmem185b	chr1	121396063	121425550	+	0
NM_146106_Lyplal1	chr1	187911630	187941208	-	0
NM_146107_Actr1b	chr1	36754975	36766847	-	0
NM_146108_Hibch	chr1	52899113	52977830	+	0
NM_146110_Aamp	chr1	74326421	74331613	-	0
NM_146112_Gigyf2	chr1	89223593	89347370	+	0
NM_146250_Gpr1	chr1	63229165	63309823	-	0
NM_146277_Olfr1412	chr1	94484843	94486082	+	0
NM_146305_Olfr420	chr1	176088784	176089871	+	0
NM_146490_Olfr1411	chr1	94493008	94494065	+	0
NM_146491_Olfr1410	chr1	94504416	94505384	+	0
NM_146715_Olfr419	chr1	176180115	176200418	-	0
NM_146716_Olfr432	chr1	175977437	175981444	+	0
NM_146717_Olfr433	chr1	175971174	175973629	+	0
NM_146718_Olfr430	chr1	175999350	176000384	+	0
NM_146720_Olfr421	chr1	176072364	176082596	+	0
NM_146721_Olfr424	chr1	176057388	176067824	+	0
NM_146722_Olfr429	chr1	176019173	176020111	+	0
NM_146761_Olfr414	chr1	176360513	176361670	+	0
NM_146764_Olfr1408	chr1	175060414	175083388	-	0
NM_146881_Olfr1404	chr1	175145784	175146725	+	0
NM_147037_Olfr1413	chr1	94469750	94470721	+	0
NM_148937_Plcd4	chr1	74589462	74614368	+	0
NM_152895_Kdm5b	chr1	136455975	136529487	+	0
NM_152915_Dner	chr1	84366415	84706993	-	0
NM_153064_Ndufs2	chr1	173164989	173180188	-	0
NM_153088_Ctdsp1	chr1	74438065	74443852	+	0
NM_153111_Fev	chr1	74915158	74932371	-	0
NM_153114_Otos	chr1	94540797	94553072	-	0
NM_153137_Traf3ip3	chr1	195001656	195027877	-	0
NM_153154_Tcfap2d	chr1	19027377	19157044	+	0
NM_153171_Rgs13	chr1	145985803	146024550	-	0
NM_153179_Pkhd1	chr1	20040166	20661582	-	0
NM_153408_Neurl3	chr1	36321504	36355139	-	0
NM_153502_Ankrd23	chr1	36587038	36593708	-	0
NM_153530_Dis3l2	chr1	88570607	88946671	+	0
NM_153539_Fam5c	chr1	148341910	148749599	+	0
NM_153555_Wdr42a	chr1	174078166	174127554	+	0
NM_153556_Pms1	chr1	53245508	53353841	-	0
NM_153601_Lgsn	chr1	31221394	31261688	+	0
NM_153744_Prkag3	chr1	74785516	74825109	-	0
NM_153774_Ipo9	chr1	137278207	137330146	-	0
NM_170597_Creg2	chr1	39677083	39708307	-	0
NM_170755_Fam134a	chr1	75137484	75144869	+	0
NM_172054_Txndc9	chr1	38041434	38054101	-	0
NM_172124_B3gat2	chr1	23755411	23855977	+	0
NM_172294_Sulf1	chr1	12708560	12851249	+	0
NM_172406_Trak2	chr1	58955979	59031177	-	0
NM_172422_Fastkd2	chr1	63777134	63803028	+	0
NM_172430_Sphkap	chr1	83207585	83404745	-	0
NM_172463_Sned1	chr1	95132418	95197642	+	0
NM_172484_E030049G20Rik	chr1	127810213	128389504	-	0
NM_172485_Thsd7b	chr1	131169889	132172070	+	0
NM_172499_Mfsd9	chr1	40828883	40921070	-	0
NM_172510_Mfsd4	chr1	133919383	133964629	-	0
NM_172513_Fam126b	chr1	58575029	58643157	-	0
NM_172516_Dstyk	chr1	134314046	134363525	+	0
NM_172517_Rbbp5	chr1	134368568	134402423	+	0
NM_172643_Zbtb41	chr1	141318960	141349577	+	0
NM_172644_Dars2	chr1	162970732	163001279	-	0
NM_172647_F11r	chr1	173365700	173394971	+	0
NM_172648_Ifi205	chr1	175664572	175958593	-	0
NM_172650_Kctd3	chr1	190794974	190831710	-	0
NM_172652_4632411B12Rik	chr1	36381585	36426026	-	0
NM_172653_Slc39a10	chr1	46863572	46949677	-	0
NM_172656_Stradb	chr1	59012025	59052817	+	0
NM_172841_Slco5a1	chr1	12857471	12982812	-	0
NM_172843_Tor1aip2	chr1	157906541	157915942	+	0
NM_172844_Fmo9	chr1	168589849	168611976	-	0
NM_172845_Adamts4	chr1	173178880	173192383	+	0
NM_172846_Dnahc14	chr1	183669052	183694102	+	0
NM_172850_Ankmy1	chr1	94757771	94799473	-	0
NM_172851_Cntnap5b	chr1	101934704	102382815	+	0
NM_172852_Serpinb13	chr1	108877561	108897772	+	0
NM_172853_Cdh7	chr1	111718165	112036714	+	0
NM_172974_Cops7b	chr1	88478926	88503950	+	0
NM_173029_Adcy10	chr1	167415324	167506904	+	0
NM_173187_2310035C23Rik	chr1	107560448	107651751	+	0
NM_173378_Trp53bp2	chr1	184333536	184392728	+	0
NM_173395_Fam132b	chr1	93263007	93270794	+	0
NM_173424_Zbtb37	chr1	162938038	162965197	-	0
NM_173425_Fam124b	chr1	80156958	80214611	-	0
NM_173437_Nav1	chr1	137332309	137482282	-	0
NM_173437_Nav1	chr1	137481360	137496527	+	0
NM_173443_Vcpip1	chr1	9709587	9764569	-	0
NM_173760_Hisppd1	chr1	99592475	99667685	-	0
NM_173771_4933406M09Rik	chr1	136282517	136287560	+	0
NM_173772_Neu4	chr1	95917070	95928707	+	0
NM_173865_Slc41a1	chr1	133724090	133745438	+	0
NM_173868_St18	chr1	6477297	6885001	+	0
NM_173870_Mgat4a	chr1	37496234	37609425	-	0
NM_174874_Atg4b	chr1	95648097	95687167	+	0
NM_174985_Gpbar1	chr1	74321873	74326272	+	0
NM_175031_Stk36	chr1	74648039	74683468	+	0
NM_175106_Tmem177	chr1	121793019	121809709	-	0
NM_175118_Dusp28	chr1	94803563	94805012	+	0
NM_175127_Fbxo28	chr1	184242976	184303818	-	0
NM_175170_Pogk	chr1	168314763	168391350	-	0
NM_175200_Als2cr11	chr1	59053967	59151744	-	0
NM_175210_Abca12	chr1	71207671	71501632	-	0
NM_175236_Adhfe1	chr1	9538049	9570746	+	0
NM_175259_Shisa4	chr1	137267654	137274885	-	0
NM_175293_D630023F18Rik	chr1	65151863	65176420	-	0
NM_175294_Nucks1	chr1	133807079	133832888	+	0
NM_175296_Mael	chr1	168115771	168178081	-	0
NM_175370_Als2cr12	chr1	58714975	58752801	-	0
NM_175382_2700049P18Rik	chr1	133344141	133436449	+	0
NM_175439_Mars2	chr1	55294084	55297625	+	0
NM_175443_Etnk2	chr1	135260167	135276893	+	0
NM_175460_Nmnat2	chr1	154802128	154966391	+	0
NM_175461_Fam78b	chr1	168898096	169021408	+	0
NM_175564_Tmem169	chr1	72330953	72349677	+	0
NM_175642_Bai3	chr1	25084207	25887514	-	0
NM_175686_Prrx1	chr1	165175252	165245859	-	0
NM_176916_Pld5	chr1	177892457	178205403	-	0
NM_176972_Usp37	chr1	74482084	74590860	-	0
NM_176980_Ankar	chr1	72689581	72747143	-	0
NM_177068_Olfml2b	chr1	172569075	172612915	+	0
NM_177084_Slc9a4	chr1	40636956	40687551	+	0
NM_177129_Cntn2	chr1	134406005	134442705	-	0
NM_177164_A830006F12Rik	chr1	70772309	70929065	+	0
NM_177173_A830018L16Rik	chr1	11404178	11994163	+	0
NM_177235_Bend6	chr1	33903283	33964764	-	0
NM_177243_Slc26a9	chr1	133640599	133668075	+	0
NM_177305_Arl4c	chr1	90569702	90617572	-	0
NM_177397_Atp6v1g3	chr1	140120875	140186039	+	0
NM_177445_Dars	chr1	130260284	130314013	-	0
NM_177587_Aqp12	chr1	94886487	94908846	+	0
NM_177604_AA986860	chr1	132628563	132644539	+	0
NM_177643_Zfp281	chr1	138487073	138526617	+	0
NM_177646_Dgkd	chr1	89749836	89841946	+	0
NM_177722_6030422M02Rik	chr1	9898713	9932156	+	0
NM_177723_Vsig8	chr1	174486069	174513273	+	0
NM_177724_D230039L06Rik	chr1	180426979	180686112	+	0
NM_177756_Glt25d2	chr1	154223175	154357825	+	0
NM_177757_Kif26b	chr1	180720593	180862983	+	0
NM_177781_Trpa1	chr1	14861962	14909072	-	0
NM_177834_Cpa6	chr1	10314801	10710026	-	0
NM_177838_Fam163a	chr1	157923096	158135544	-	0
NM_177839_Tnn	chr1	161966935	162084477	-	0
NM_178051_Mterfd2	chr1	95195779	95202630	-	0
NM_178055_Dnajb2	chr1	75233016	75242264	+	0
NM_178119_Agap1	chr1	91351421	91791845	+	0
NM_178241_Il8ra	chr1	74238380	74241205	-	0
NM_178243_5830403L16Rik	chr1	155697272	155747352	-	0
NM_178244_Teddm1	chr1	155724147	155740188	+	0
NM_178399_3110035E14Rik	chr1	9591248	9617222	+	0
NM_178405_Atp1a2	chr1	174201852	174233438	-	0
NM_178593_Rcsd1	chr1	167572007	167639868	-	0
NM_178598_Tagln2	chr1	174430123	174475991	+	0
NM_178601_Imp4	chr1	34496377	34511555	+	0
NM_178632_Ints7	chr1	193399085	193447550	+	0
NM_178653_Sccpdh	chr1	181598088	181617593	+	0
NM_178690_Rab3gap1	chr1	129765355	129840723	+	0
NM_178691_Yod1	chr1	132612680	132618643	+	0
NM_178692_C130074G19Rik	chr1	186695805	186707077	-	0
NM_178775_Rps6kc1	chr1	192524091	192736016	-	0
NM_178779_Rnf152	chr1	107176426	107253513	-	0
NM_178874_Tmcc2	chr1	134252895	134288369	-	0
NM_178883_Gorab	chr1	165315039	165340946	-	0
NM_178884_Obsl1	chr1	75482401	75503218	-	0
NM_181405_Rnpepl1	chr1	94807467	94817954	+	0
NM_181546_Syt14	chr1	194713536	194861959	-	0
NM_181750_R3hdm1	chr1	129999892	130134312	+	0
NM_181796_Gstp2	chr1	193897651	193905509	-	0
NM_182716_Nfasc	chr1	134445291	134638354	-	0
NM_182930_Plekha6	chr1	135077806	135200008	+	0
NM_183019_Arhgef4	chr1	34788954	34873560	+	0
NM_183022_Accn4	chr1	75447063	75470207	+	0
NM_183027_Ap1s3	chr1	79591820	79668545	-	0
NM_183028_Pcmtd1	chr1	7079053	7163709	+	0
NM_183124_Defb41	chr1	18241071	18350659	-	0
NM_183355_Pbx1	chr1	170049495	170512777	-	0
NM_183391_Tnfsf18	chr1	163373523	163524094	+	0
NM_194333_Slc23a3	chr1	75120731	75130464	-	0
NM_198006_6330578E17Rik	chr1	37473934	37474944	-	0
NM_198006_6330578E17Rik	chr1	37477057	37486928	-	0
NM_198028_Serpinb10	chr1	109425580	109445838	+	0
NM_198127_Abi2	chr1	60466022	60537998	+	0
NM_198247_Sertad4	chr1	194670313	194693726	-	0
NM_198303_Eif5b	chr1	38054627	38112414	+	0
NM_198652_6430706D22Rik	chr1	90158880	90174174	-	0
NM_198653_Iars2	chr1	187109458	187153280	-	0
NM_198654_Nsl1	chr1	192886918	192919389	+	0
NM_198680_Serpinb3b	chr1	109033488	109059720	-	0
NM_198899_Ugcgl1	chr1	36196873	36301555	-	0
NM_198934_Pou2f1	chr1	167804181	167932753	-	0
NM_199007_Sgol2	chr1	58026657	58085164	+	0
NM_199021_Dpp10	chr1	125044486	126749525	-	0
NM_201363_Serpinb3c	chr1	109088051	109198931	-	0
NM_201376_Serpinb3d	chr1	108974770	108980057	-	0
NM_201641_Ugt1a10	chr1	89922380	90115570	+	0
NM_206896_Olfr12	chr1	94516341	94538591	+	0
NM_207031_Ano7	chr1	95270385	95302271	+	0
NM_207137_Olfr417	chr1	176299050	176299979	+	0
NM_207137_Olfr417	chr1	176321202	176322113	+	0
NM_207158_Olfr427	chr1	176028781	176030538	+	0
NM_207225_Hdac4	chr1	93755950	94103099	-	0
NM_207228_Tsga10	chr1	37783457	37922148	-	0
NM_207233_C1ql2	chr1	122196386	122239751	+	0
NM_207281_4832428D23Rik	chr1	44260915	44515719	-	0
NM_207583_Fam5b	chr1	160175402	160286644	-	0
NM_207653_Cflar	chr1	58813703	58815725	+	0
NM_207653_Cflar	chr1	58768296	58813658	+	0
NM_213616_Atp2b4	chr1	135602265	135697538	-	0
NR_002840_Gas5	chr1	162964758	162968663	+	0
NR_002858_EG241041	chr1	21268965	21306401	-	0
NR_002870_Dnm3os	chr1	164119785	164155671	+	0
NR_003623_EG277333	chr1	182251970	182262902	-	0
NR_026896_4931440L10Rik	chr1	136437533	136449760	-	0
